id,hu1_mean,hu2_mean,hu3_mean,hu4_mean,hu5_mean,hu6_mean,hu7_mean,hu1_std,hu2_std,hu3_std,hu4_std,hu5_std,hu6_std,hu7_std,note,raw_path,n_points,lambda1,lambda2,lambda3,r1,r2,r3,ratio12,ratio23,trace,proj_hist_bin_0,proj_hist_bin_1,proj_hist_bin_2,proj_hist_bin_3,proj_hist_bin_4,proj_hist_bin_5,proj_hist_bin_6,proj_hist_bin_7
Buche_Jerome_Bu95_SEW36,3.0236918926239014,6.578409194946289,10.940524101257324,11.995095252990724,7.0487213134765625,4.0965094566345215,0.0008304913644678,0.0382614135742187,0.2279451191425323,0.453314870595932,1.137622952461243,22.78124046325684,15.407032012939451,23.671369552612305,0.0,0.0,1024,0.1112106367945671,0.015473024919629,0.0072703598998487,0.8302149772644043,0.1155099719762802,0.0542750433087348,7.187387943267822,2.1282336711883545,0.1339540183544159,0.2998046875,0.2587890625,0.3427734375,0.037109375,0.0029296875,0.00390625,0.0380859375,0.0166015625
Douglasie_31_11,2.9195916652679443,6.212306976318359,8.813761711120605,8.947661399841309,17.82859992980957,12.054499626159668,4.0531158447265625e-05,0.0308033637702465,0.1245201826095581,0.159600168466568,0.1562760323286056,0.3135614395141601,0.2137358784675598,19.56876373291016,0.0,0.0,1024,0.0491932518780231,0.0077276863157749,0.005930826999247,0.7826868891716003,0.122950978577137,0.0943621397018432,6.3658447265625,1.302969455718994,0.0628517642617225,0.5205078125,0.2392578125,0.087890625,0.064453125,0.0302734375,0.0185546875,0.0146484375,0.0244140625
Douglasie_31_12,2.988804578781128,6.390043258666992,9.73112964630127,9.927043914794922,19.758962631225582,13.146204948425291,0.0008436838979832,0.0330346040427684,0.1109410673379898,0.8661861419677734,0.7492808103561401,1.5592525005340576,0.7960553765296936,21.14864921569824,0.0,0.0,1024,0.0638484805822372,0.0142141934484243,0.0089675337076187,0.7336358428001404,0.1633248329162597,0.1030393242835998,4.491881847381592,1.5850727558135986,0.0870302096009254,0.4228515625,0.265625,0.1279296875,0.087890625,0.0458984375,0.025390625,0.0107421875,0.013671875
Douglasie_31_13,2.8635196685791016,6.009181976318359,8.691121101379395,8.781327247619629,17.51759910583496,11.788582801818848,-0.0006893475656397,0.0326076745986938,0.112569123506546,0.1680005937814712,0.1676079630851745,0.335252583026886,0.2065164148807525,19.79203414916992,0.0,0.0,1024,0.0638529360294342,0.0059736054390668,0.0054080616682767,0.8487176299095154,0.0793997049331665,0.0718826353549957,10.689178466796877,1.104574203491211,0.0752346068620681,0.51953125,0.1826171875,0.1103515625,0.0830078125,0.03515625,0.0263671875,0.0166015625,0.0263671875
Douglasie_31_14,2.9323270320892334,6.176538944244385,9.318062782287598,9.518028259277344,18.93676376342773,12.625858306884766,-0.0001970926969079,0.0408889502286911,0.0937092080712318,0.3512178659439087,0.4871779084205627,0.9044239521026612,0.5267211198806763,20.398534774780277,0.0,0.0,1024,0.057219211012125,0.0096832960844039,0.0044134180061519,0.8023342490196228,0.1357802748680114,0.0618854463100433,5.909063339233398,2.1940581798553467,0.0713159292936325,0.5009765625,0.259765625,0.0947265625,0.0625,0.0361328125,0.015625,0.0107421875,0.01953125
Douglasie_31_15,2.959994316101074,6.192574977874756,10.735589027404783,11.153640747070312,22.22471809387207,14.366084098815918,0.0,0.0437603779137134,0.1571521610021591,0.6165237426757812,0.812605619430542,1.661769151687622,0.9999490976333618,22.662206649780277,0.0,0.0,1024,0.049893844872713,0.0058493451215326,0.0026648812927305,0.8542286157608032,0.1001461818814277,0.0456252247095108,8.529817581176758,2.194973945617676,0.0584080703556537,0.26171875,0.26953125,0.1640625,0.1259765625,0.103515625,0.044921875,0.015625,0.0146484375
Douglasie_31_20,2.8244876861572266,5.846729278564453,8.841019630432129,9.025774002075195,17.96175765991211,11.955544471740724,-0.0012524923076853,0.108363963663578,0.3113983869552612,0.7419531941413879,0.9215291142463684,1.7579890489578247,1.0740972757339478,19.666488647460938,0.0,0.0,1024,0.1136974245309829,0.0051851077005267,0.0043836520053446,0.9223731756210328,0.0420643128454685,0.0355624854564666,21.92768859863281,1.1828283071517944,0.1232661828398704,0.294921875,0.22265625,0.1728515625,0.126953125,0.0673828125,0.046875,0.04296875,0.025390625
Douglasie_31_21,2.864062547683716,5.954139232635498,8.95398235321045,9.140762329101562,18.188634872436523,12.121121406555176,0.0,0.0389996170997619,0.1108693331480026,0.1994645446538925,0.2304183840751648,0.4457044899463653,0.281146377325058,19.700380325317383,0.0,0.0,1024,0.0833378657698631,0.0091885617002844,0.0051789502613246,0.8529506325721741,0.0940435603260994,0.0530057847499847,9.06973934173584,1.774213194847107,0.0977053791284561,0.2734375,0.279296875,0.255859375,0.087890625,0.044921875,0.0302734375,0.013671875,0.0146484375
Douglasie_31_23,3.0001680850982666,6.308012008666992,10.338335037231444,11.249530792236328,15.18875789642334,5.035045146942139,-0.0002671877446118,0.0449767932295799,0.1793724149465561,0.2352702468633651,0.2514133155345917,16.518577575683594,14.131351470947266,22.584720611572266,0.0,0.0,1024,0.0761004909873008,0.0086772814393043,0.0065593677572906,0.8331823348999023,0.0950027778744697,0.071814902126789,8.7700834274292,1.3228838443756104,0.0913371369242668,0.1953125,0.23046875,0.21484375,0.1826171875,0.1279296875,0.0390625,0.005859375,0.00390625
Douglasie_31_25,3.0156688690185547,6.395548343658447,9.990036964416504,10.259249687194824,20.384092330932617,13.460197448730469,-1.5894572413799326e-07,0.014780051074922,0.0638985410332679,0.2317756712436676,0.2116477936506271,0.4298412203788757,0.2357724905014038,22.000301361083984,0.0,0.0,1024,0.0661455243825912,0.0099131790921092,0.0081566730514168,0.7854328751564026,0.1177122220396995,0.096854917705059,6.672483444213867,1.215345859527588,0.084215372800827,0.4130859375,0.2685546875,0.15234375,0.08203125,0.044921875,0.0244140625,0.0078125,0.0068359375
