id,raw_path,n_points,lambda1,lambda2,lambda3,r1,r2,r3,ratio12,ratio23,trace,proj_hist_bin_0,proj_hist_bin_1,proj_hist_bin_2,proj_hist_bin_3,proj_hist_bin_4,proj_hist_bin_5,proj_hist_bin_6,proj_hist_bin_7
Douglasie_61_37,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\61_37.txt,1024,0.08594264835119247,0.002615569159388542,0.0015830268384888768,0.9534220099449158,0.029016343876719475,0.017561625689268112,32.85810470581055,1.652258276939392,0.09014124423265457,0.177734375,0.12109375,0.1357421875,0.134765625,0.181640625,0.146484375,0.0751953125,0.02734375
Douglasie_61_46,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\61_46.txt,1024,0.08989127725362778,0.008397656492888927,0.0030797466170042753,0.8867756724357605,0.08284270763397217,0.030381636694073677,10.704329490661621,2.726736307144165,0.10136868059635162,0.171875,0.259765625,0.220703125,0.1552734375,0.0712890625,0.0400390625,0.03125,0.0498046875
Douglasie_61_45,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\61_45.txt,1024,0.06786292791366577,0.005022461526095867,0.0033691355492919683,0.8899527788162231,0.0658644363284111,0.04418276250362396,13.511886596679688,1.4907270669937134,0.07625452429056168,0.25,0.2841796875,0.24609375,0.0771484375,0.048828125,0.0263671875,0.01953125,0.0478515625
Douglasie_61_49,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\61_49.txt,1024,0.08664809167385101,0.001952659571543336,0.0013491642894223332,0.96329265832901,0.021708298474550247,0.014999061822891235,44.37439727783203,1.4473103284835815,0.08994991332292557,0.0849609375,0.1943359375,0.2265625,0.19921875,0.1171875,0.080078125,0.046875,0.05078125
Douglasie_61_52,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\61_52.txt,1024,0.019906986504793167,0.0036168631631881,0.0034755547530949116,0.7373120784759521,0.13396084308624268,0.12872707843780518,5.503937244415283,1.0406577587127686,0.026999404653906822,0.6103515625,0.3046875,0.0224609375,0.015625,0.0166015625,0.0166015625,0.0107421875,0.0029296875
Douglasie_61_57,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\61_57.txt,1024,0.04862147197127342,0.007024219725281,0.005200936924666166,0.7990824580192566,0.11544138938188553,0.08547617495059967,6.921975135803223,1.3505680561065674,0.06084663048386574,0.4912109375,0.2001953125,0.16015625,0.0673828125,0.0263671875,0.0166015625,0.015625,0.0224609375
Douglasie_61_56,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\61_56.txt,1024,0.11904191970825195,0.0038497138302773237,0.0017064899438992143,0.9554070234298706,0.030897043645381927,0.013695952482521534,30.922277450561523,2.255925178527832,0.12459812313318253,0.134765625,0.1201171875,0.2138671875,0.2177734375,0.1376953125,0.07421875,0.044921875,0.056640625
Douglasie_61_5,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\61_5.txt,1024,0.07850859314203262,0.002715327311307192,0.0021662258077412844,0.9414612650871277,0.03256173059344292,0.0259770005941391,28.913122177124023,1.2534829378128052,0.08339014649391174,0.056640625,0.16015625,0.2626953125,0.208984375,0.125,0.0888671875,0.052734375,0.044921875
Douglasie_61_62,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\61_62.txt,1024,0.0794079378247261,0.0024522915482521057,0.00186546694021672,0.9484297037124634,0.029289592057466507,0.022280698642134666,32.3811149597168,1.3145724534988403,0.0837256982922554,0.1083984375,0.1728515625,0.337890625,0.115234375,0.0869140625,0.068359375,0.0673828125,0.04296875
Douglasie_61_65,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\61_65.txt,1024,0.058362703770399094,0.004215664230287075,0.0021458116825670004,0.9017140865325928,0.0651327520608902,0.033153168857097626,13.84424877166748,1.9646011590957642,0.06472417712211609,0.1328125,0.2841796875,0.32421875,0.0966796875,0.0654296875,0.0439453125,0.0234375,0.029296875
Douglasie_61_63,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\61_63.txt,1024,0.09327182918787003,0.006916538346558809,0.0029212713707238436,0.9045888185501099,0.06707945466041565,0.028331700712442398,13.485333442687988,2.3676466941833496,0.10310963541269302,0.0859375,0.09375,0.2529296875,0.25390625,0.1591796875,0.0654296875,0.0458984375,0.04296875
Douglasie_61_67,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\61_67.txt,1024,0.10628596693277359,0.0017707061488181353,0.0009035773109644651,0.9754563570022583,0.016250938177108765,0.008292724378407001,60.024620056152344,1.9596620798110962,0.10896024852991104,0.166015625,0.1708984375,0.1357421875,0.0986328125,0.109375,0.1357421875,0.1142578125,0.0693359375
Douglasie_61_68,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\61_68.txt,1024,0.08390168100595474,0.0055656712502241135,0.003205189248546958,0.9053564071655273,0.0600573904812336,0.03458618000149727,15.074854850769043,1.7364563941955566,0.09267254173755646,0.2509765625,0.2666015625,0.2822265625,0.0732421875,0.0263671875,0.044921875,0.0244140625,0.03125
Douglasie_61_66,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\61_66.txt,1024,0.07869262248277664,0.005746293347328901,0.004440824966877699,0.885383129119873,0.0646524503827095,0.04996442794799805,13.694501876831055,1.2939696311950684,0.08887973427772522,0.2841796875,0.3701171875,0.1640625,0.0595703125,0.0390625,0.03125,0.0234375,0.0283203125
Douglasie_61_69,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\61_69.txt,1024,0.08940543234348297,0.004804701078683138,0.0032923503313213587,0.9169554114341736,0.04927773401141167,0.03376683592796326,18.607906341552734,1.459352970123291,0.09750247746706009,0.1513671875,0.1865234375,0.298828125,0.208984375,0.05078125,0.033203125,0.0302734375,0.0400390625
Douglasie_61_71,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\61_71.txt,1024,0.1077389344573021,0.009435628540813923,0.004535907879471779,0.8852067589759827,0.07752519845962524,0.03726801648736,11.41831111907959,2.080207109451294,0.12171047180891037,0.14453125,0.205078125,0.291015625,0.158203125,0.091796875,0.0546875,0.0234375,0.03125
Douglasie_61_70,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\61_70.txt,1024,0.10033994913101196,0.0069471364840865135,0.003508961293846369,0.9056275486946106,0.06270202249288559,0.031670454889535904,14.443353652954102,1.9798270463943481,0.11079604923725128,0.171875,0.26953125,0.287109375,0.1455078125,0.041015625,0.02734375,0.025390625,0.0322265625
Douglasie_61_72,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\61_72.txt,1024,0.06764604896306992,0.003751488169655204,0.002356759738177061,0.917181134223938,0.050864677876234055,0.03195420280098915,18.031789779663086,1.591799259185791,0.07375429570674896,0.13671875,0.197265625,0.240234375,0.1943359375,0.095703125,0.052734375,0.0439453125,0.0390625
Douglasie_61_8,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\Dataset\dataverse_files\Douglasie\61_8.txt,1024,0.08837756514549255,0.006571319419890642,0.0033929708879441023,0.8986769914627075,0.06682118773460388,0.03450179845094681,13.448983192443848,1.936745047569275,0.09834185242652893,0.1318359375,0.1396484375,0.19140625,0.18359375,0.16796875,0.10546875,0.0439453125,0.0361328125
